Frame,Differences,Time
97031,526262,@1h:7m:23s
97032,422526,@1h:7m:23s
97033,495300,@1h:7m:23s
97034,451664,@1h:7m:23s
97035,603586,@1h:7m:23s
97038,588370,@1h:7m:23s
97039,584956,@1h:7m:23s
97040,590288,@1h:7m:23s
97041,457408,@1h:7m:23s
97042,587098,@1h:7m:23s
97296,463824,@1h:7m:34s
97319,400300,@1h:7m:35s
97328,374696,@1h:7m:35s
97338,380772,@1h:7m:36s
97382,332058,@1h:7m:38s
97451,366988,@1h:7m:40s
97845,479634,@1h:7m:57s
98287,513496,@1h:8m:15s
98611,461064,@1h:8m:29s
98813,346498,@1h:8m:37s
99218,574082,@1h:8m:54s
99219,590112,@1h:8m:54s
99523,536674,@1h:9m:7s
99524,469030,@1h:9m:7s
99569,326504,@1h:9m:9s
99739,594718,@1h:9m:16s
99740,340208,@1h:9m:16s
99741,323864,@1h:9m:16s
99752,345920,@1h:9m:16s
99771,453476,@1h:9m:17s
104674,333846,@1h:12m:41s
105575,321788,@1h:13m:19s
105636,384908,@1h:13m:22s
107596,345368,@1h:14m:43s
107742,346896,@1h:14m:49s
108406,329318,@1h:15m:17s
108592,427886,@1h:15m:25s
108615,488542,@1h:15m:26s
108681,346752,@1h:15m:28s
111401,336324,@1h:17m:22s
111476,340408,@1h:17m:25s
115343,396282,@1h:20m:6s
115376,363132,@1h:20m:7s
115381,327554,@1h:20m:8s
115384,333436,@1h:20m:8s
115385,334608,@1h:20m:8s
115454,394480,@1h:20m:11s
117564,335940,@1h:21m:38s
117567,362756,@1h:21m:39s
117602,358170,@1h:21m:40s
117648,383990,@1h:21m:42s
118025,320642,@1h:21m:58s
118172,559830,@1h:22m:4s
118231,361018,@1h:22m:6s
119390,364824,@1h:22m:55s
120191,375390,@1h:23m:28s
120299,345412,@1h:23m:32s
120485,414496,@1h:23m:40s
120486,338464,@1h:23m:40s
120626,439216,@1h:23m:46s
120711,492234,@1h:23m:50s
120790,392732,@1h:23m:53s
121038,382566,@1h:24m:3s
121278,349266,@1h:24m:13s
121875,353130,@1h:24m:38s
121934,354720,@1h:24m:41s
121974,330126,@1h:24m:42s
122008,323356,@1h:24m:44s
123403,349756,@1h:25m:42s
130490,323664,@1h:30m:37s
130519,576132,@1h:30m:38s
130622,338526,@1h:30m:43s
130892,322742,@1h:30m:54s
131301,347750,@1h:31m:11s
131406,511752,@1h:31m:15s
133599,332740,@1h:32m:47s
137011,373108,@1h:35m:9s
137424,365930,@1h:35m:26s
142015,323198,@1h:38m:37s
142020,370114,@1h:38m:38s
143046,582684,@1h:39m:20s
143835,539828,@1h:39m:53s
144408,480236,@1h:40m:17s
144490,321852,@1h:40m:20s
144833,345714,@1h:40m:35s
145096,383764,@1h:40m:46s
145122,418152,@1h:40m:47s
146289,343628,@1h:41m:35s
147518,348144,@1h:42m:27s
148064,354194,@1h:42m:49s
148377,419222,@1h:43m:2s
148636,353890,@1h:43m:13s
148753,395978,@1h:43m:18s
148829,357024,@1h:43m:21s
148926,330412,@1h:43m:25s
149143,346040,@1h:43m:34s
149471,330490,@1h:43m:48s
149585,376398,@1h:43m:53s
149651,382970,@1h:43m:55s
149812,349488,@1h:44m:2s
149881,391412,@1h:44m:5s
150102,331646,@1h:44m:14s
150775,390122,@1h:44m:42s
150809,358228,@1h:44m:44s
150826,373546,@1h:44m:44s
150844,402888,@1h:44m:45s
151160,418642,@1h:44m:58s
151401,557548,@1h:45m:8s
151409,433342,@1h:45m:9s
151410,367974,@1h:45m:9s
151412,414340,@1h:45m:9s
151444,326562,@1h:45m:10s
151765,350420,@1h:45m:24s
151949,501870,@1h:45m:31s
151951,526892,@1h:45m:31s
152670,328990,@1h:46m:1s
152939,384528,@1h:46m:12s
153240,358896,@1h:46m:25s
153649,441182,@1h:46m:42s
153658,434322,@1h:46m:42s
153659,369798,@1h:46m:42s
153751,341266,@1h:46m:46s
154261,388788,@1h:47m:8s
154997,320664,@1h:47m:38s
156232,338388,@1h:48m:30s
160597,365192,@1h:51m:32s
160648,342514,@1h:51m:34s
166317,402486,@1h:55m:30s
166395,592758,@1h:55m:33s
