Frame,Differences,Time
138884,91310,@1h:36m:27s
139972,91784,@1h:37m:12s
143046,144116,@1h:39m:20s
143835,117362,@1h:39m:53s
143923,104430,@1h:39m:57s
144490,106600,@1h:40m:20s
144833,143278,@1h:40m:35s
145096,114908,@1h:40m:46s
145342,108284,@1h:40m:56s
146926,84492,@1h:42m:2s
146978,84486,@1h:42m:4s
147133,85702,@1h:42m:11s
147976,105762,@1h:42m:46s
149143,101234,@1h:43m:34s
149976,97996,@1h:44m:9s
150102,94702,@1h:44m:14s
150617,96758,@1h:44m:36s
150826,105656,@1h:44m:44s
151010,103204,@1h:44m:52s
151114,91874,@1h:44m:56s
151240,100750,@1h:45m:2s
151335,100662,@1h:45m:6s
151401,123310,@1h:45m:8s
151409,142208,@1h:45m:9s
151422,142706,@1h:45m:9s
151497,94172,@1h:45m:12s
151591,104722,@1h:45m:16s
151951,115640,@1h:45m:31s
152066,132130,@1h:45m:36s
152181,159630,@1h:45m:41s
152374,99382,@1h:45m:49s
152502,102382,@1h:45m:54s
152550,116638,@1h:45m:56s
152572,177596,@1h:45m:57s
152627,93990,@1h:45m:59s
152661,91426,@1h:46m:1s
152785,114468,@1h:46m:6s
152939,131282,@1h:46m:12s
153776,151828,@1h:46m:47s
154018,168674,@1h:46m:57s
154140,151142,@1h:47m:2s
154155,115250,@1h:47m:3s
154313,130670,@1h:47m:10s
154639,82698,@1h:47m:23s
154649,82056,@1h:47m:24s
154680,121164,@1h:47m:25s
154701,95862,@1h:47m:26s
154876,100050,@1h:47m:33s
154989,92382,@1h:47m:38s
155216,98270,@1h:47m:47s
155284,95152,@1h:47m:50s
155393,105864,@1h:47m:55s
155546,91780,@1h:48m:1s
155618,99268,@1h:48m:4s
155670,95458,@1h:48m:6s
155800,88126,@1h:48m:12s
155991,86858,@1h:48m:20s
156093,102114,@1h:48m:24s
156945,174654,@1h:48m:59s
156975,116224,@1h:49m:1s
157035,86936,@1h:49m:3s
157189,139822,@1h:49m:10s
157562,80250,@1h:49m:25s
158090,107554,@1h:49m:47s
158182,88258,@1h:49m:51s
158339,94816,@1h:49m:57s
158466,84026,@1h:50m:3s
159912,88368,@1h:51m:3s
160597,99834,@1h:51m:32s
160648,180644,@1h:51m:34s
160728,100818,@1h:51m:37s
165143,103594,@1h:54m:41s
166392,101034,@1h:55m:33s
