Frame,Differences,Time
136420,459418.2083333333,@1h:34m:44s
136421,472343.7916666667,@1h:34m:44s
136422,487674.125,@1h:34m:44s
136423,477113.7083333333,@1h:34m:44s
136424,466558.2083333333,@1h:34m:44s
136425,456001.25,@1h:34m:44s
136426,443485.5833333333,@1h:34m:44s
136427,433053.1666666667,@1h:34m:44s
136428,422615.625,@1h:34m:44s
136429,412170.875,@1h:34m:45s
136430,401734.625,@1h:34m:45s
